"","year","anomaly"
"1",2021,0.73570442199707
"2",2022,0.762416839599609
"3",2023,0.787313461303711
"4",2024,0.810813903808594
"5",2025,0.840114593505859
"6",2026,0.870670318603516
"7",2027,0.901405334472656
"8",2028,0.927160263061523
"9",2029,0.955568313598633
"10",2030,0.975526809692383
"11",2031,1.00390625
"12",2032,1.02748680114746
"13",2033,1.05286026000977
"14",2034,1.07936859130859
"15",2035,1.10906791687012
"16",2036,1.13543510437012
"17",2037,1.15677642822266
"18",2038,1.1777458190918
"19",2039,1.20413589477539
"20",2040,1.22956466674805
"21",2041,1.25364685058594
"22",2042,1.28087425231934
"23",2043,1.3037109375
"24",2044,1.32574653625488
"25",2045,1.3431510925293
"26",2046,1.36016464233398
"27",2047,1.3801383972168
"28",2048,1.39858818054199
"29",2049,1.41119956970215
"30",2050,1.43222236633301
"31",2051,1.44916725158691
"32",2052,1.47402191162109
"33",2053,1.49540138244629
"34",2054,1.51504516601562
"35",2055,1.53078079223633
"36",2056,1.55068778991699
"37",2057,1.57170486450195
"38",2058,1.58813858032227
"39",2059,1.60373878479004
"40",2060,1.62387084960938
"41",2061,1.63943481445312
"42",2062,1.65233421325684
"43",2063,1.66517639160156
"44",2064,1.6843318939209
"45",2065,1.70456886291504
"46",2066,1.71752166748047
"47",2067,1.73269081115723
"48",2068,1.75581932067871
"49",2069,1.77912521362305
"50",2070,1.79475212097168
"51",2071,1.81052780151367
"52",2072,1.82647705078125
"53",2073,1.83536720275879
"54",2074,1.8465404510498
"55",2075,1.86248397827148
"56",2076,1.87420654296875
"57",2077,1.88640975952148
"58",2078,1.90320777893066
"59",2079,1.9195384979248
"60",2080,1.92679786682129
"61",2081,1.93921279907227
"62",2082,1.95560073852539
"63",2083,1.97199440002441
"64",2084,1.98188400268555
"65",2085,1.99122047424316
"66",2086,2.00170135498047
"67",2087,2.00994873046875
"68",2088,2.01925277709961
"69",2089,2.02723121643066
