year,anomaly_C
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.3363603095105001
2021,0.7478896755061735
2022,0.7737737916920282
2023,0.7980335261723769
2024,0.824210029699329
2025,0.8540530270093107
2026,0.8846905381712196
2027,0.9131538155960707
2028,0.9401482788808574
2029,0.964672668666056
2030,0.9884724995861317
2031,1.014662857578225
2032,1.0390874171300462
2033,1.064952416615944
2034,1.0929163658455618
2035,1.1210956887023118
2036,1.1451922487908623
2037,1.1663419174821443
2038,1.18978403169815
2039,1.215735594867028
2040,1.240574918375209
2041,1.2660670215136416
2042,1.291291534737367
2043,1.3137627928224316
2044,1.3337038106171375
2045,1.350912067988147
2046,1.369275957917513
2047,1.3885545312541812
2048,1.4043540433456332
2049,1.420789420768008
2050,1.439952019469378
2051,1.460505062260036
2052,1.483796496643176
2053,1.5043621768690116
2054,1.5222231982505463
2055,1.5398616555618911
2056,1.560296689226325
2057,1.5792013403487537
2058,1.5952548379767457
2059,1.6129223157281773
2060,1.6309866149568821
2061,1.6453190607567345
2062,1.6581923576250477
2063,1.6739144495088754
2064,1.693584132932793
2065,1.7104774710250237
2066,1.7244412905549371
2067,1.7432412134457955
2068,1.766474656068563
2069,1.7862536521807126
2070,1.8019484245613822
2071,1.8178032809740865
2072,1.8305415829239868
2073,1.8404640406778396
2074,1.853813320316676
2075,1.8678313947703717
2076,1.879785791338031
2077,1.8940724176903252
2078,1.9106572712937402
2079,1.9228499634625138
2080,1.932473910528022
2081,1.9466883933707482
2082,1.9630789430174087
2083,1.9765056845259987
2084,1.9861525898639838
2085,1.9960014787438782
2086,2.005463513936083
2087,2.014192905164745
2088,2.0229004788702722
2089,2.02723121643066
2090,2.02723121643066
2091,2.02723121643066
2092,2.02723121643066
2093,2.02723121643066
2094,2.02723121643066
2095,2.02723121643066
2096,2.02723121643066
2097,2.02723121643066
2098,2.02723121643066
2099,2.02723121643066
